"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: listSize"
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,0.131901,0.004006,"us/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,1189.615848,33.121114,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,328.000288,0.001017,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1189.701872,64.236317,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,328.008557,14.319075,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.155542,0.075647,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.042929,0.020972,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,206.000000,NaN,"counts",3
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,93.000000,NaN,"ms",3
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,0.865418,0.012904,"us/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,2118.134015,30.268842,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,3032.001505,0.005313,"B/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,2118.714803,48.660896,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,3033.038492,77.887755,"B/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.136762,0.047086,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.195615,0.066057,"B/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,220.000000,NaN,"counts",15
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,100.000000,NaN,"ms",15
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,95.405996,3.005443,"us/op",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,2516.288559,77.476160,"MB/sec",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,378224.165670,0.582798,"B/op",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,2522.178453,110.378481,"MB/sec",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,379123.902501,12787.643929,"B/op",1000
