"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: listSize"
"benchmarks.paguro.rrbTree.Add.addFirst","avgt",1,10,0.126911,0.001331,"us/op",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate","avgt",1,10,658.565970,6.885509,"MB/sec",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,176.000279,0.000981,"B/op",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,656.292985,45.833525,"MB/sec",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,175.408683,12.636544,"B/op",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.112013,0.061296,"MB/sec",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.029951,0.016421,"B/op",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.count","avgt",1,10,173.000000,NaN,"counts",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.time","avgt",1,10,75.000000,NaN,"ms",3
"benchmarks.paguro.rrbTree.Add.addFirst","avgt",1,10,0.535231,0.007524,"us/op",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate","avgt",1,10,1342.953302,23.428472,"MB/sec",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,1232.000971,0.003438,"B/op",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1342.478059,27.735143,"MB/sec",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,1231.615972,22.346728,"B/op",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.120081,0.060210,"MB/sec",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.110358,0.056666,"B/op",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.count","avgt",1,10,220.000000,NaN,"counts",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.time","avgt",1,10,96.000000,NaN,"ms",15
"benchmarks.paguro.rrbTree.Add.addFirst","avgt",1,10,35.733938,0.675666,"us/op",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate","avgt",1,10,2117.623079,40.588870,"MB/sec",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,119352.059777,0.209814,"B/op",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,2119.589576,59.432937,"MB/sec",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,119481.144113,4134.470623,"B/op",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.122322,0.094967,"MB/sec",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,6.890567,5.316983,"B/op",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.count","avgt",1,10,217.000000,NaN,"counts",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.time","avgt",1,10,97.000000,NaN,"ms",1000
"benchmarks.paguro.rrbTree.Add.addFirst","avgt",1,10,3790.332381,80.224226,"us/op",100000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate","avgt",1,10,2320.749756,46.267157,"MB/sec",100000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,13847662.256664,21.791447,"B/op",100000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,2326.389124,99.778563,"MB/sec",100000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,13879919.596600,425746.976468,"B/op",100000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.849640,0.225871,"MB/sec",100000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,5071.651949,1367.556361,"B/op",100000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.count","avgt",1,10,153.000000,NaN,"counts",100000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.time","avgt",1,10,97.000000,NaN,"ms",100000
"benchmarks.paguro.rrbTree.Add.addFirst","avgt",1,10,429773.524567,7469.988157,"us/op",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate","avgt",1,10,2438.559127,31.532549,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,1527558881.066667,1933.078466,"B/op",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,2422.550690,539.069017,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,1518670097.066667,349844805.273069,"B/op",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,11.697024,2.372611,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,7321463.466667,1419523.017308,"B/op",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.count","avgt",1,10,35.000000,NaN,"counts",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.time","avgt",1,10,625.000000,NaN,"ms",10000000
"benchmarks.paguro.rrbTree.Add.addLast","avgt",1,10,0.132336,0.001924,"us/op",3
"benchmarks.paguro.rrbTree.Add.addLast:·gc.alloc.rate","avgt",1,10,638.796198,9.065507,"MB/sec",3
"benchmarks.paguro.rrbTree.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,176.000288,0.001009,"B/op",3
"benchmarks.paguro.rrbTree.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,646.900862,64.699647,"MB/sec",3
"benchmarks.paguro.rrbTree.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,178.199413,16.811325,"B/op",3
"benchmarks.paguro.rrbTree.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.101668,0.037534,"MB/sec",3
"benchmarks.paguro.rrbTree.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.028030,0.010426,"B/op",3
"benchmarks.paguro.rrbTree.Add.addLast:·gc.count","avgt",1,10,161.000000,NaN,"counts",3
"benchmarks.paguro.rrbTree.Add.addLast:·gc.time","avgt",1,10,71.000000,NaN,"ms",3
"benchmarks.paguro.rrbTree.Add.addLast","avgt",1,10,0.519095,0.014522,"us/op",15
