"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: listSize"
"benchmarks.baseline.Add.addFirst","avgt",1,10,153647.981827,44493.646139,"us/op",10000000
"benchmarks.baseline.Add.addFirst:·gc.alloc.rate","avgt",1,10,837.004336,161.859231,"MB/sec",10000000
"benchmarks.baseline.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,240000243.973333,823.261162,"B/op",10000000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,879.363335,224.413339,"MB/sec",10000000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,259685089.280000,115113245.971337,"B/op",10000000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,62.008085,39.354921,"MB/sec",10000000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,18308581.668571,13089531.562824,"B/op",10000000
"benchmarks.baseline.Add.addFirst:·gc.count","avgt",1,10,19.000000,NaN,"counts",10000000
"benchmarks.baseline.Add.addFirst:·gc.time","avgt",1,10,5064.000000,NaN,"ms",10000000
"benchmarks.baseline.Add.addFirstAddLast","avgt",1,10,135205.633367,43664.799173,"us/op",10000000
"benchmarks.baseline.Add.addFirstAddLast:·gc.alloc.rate","avgt",1,10,775.948715,141.523557,"MB/sec",10000000
"benchmarks.baseline.Add.addFirstAddLast:·gc.alloc.rate.norm","avgt",1,10,240000324.053333,1168.273898,"B/op",10000000
"benchmarks.baseline.Add.addFirstAddLast:·gc.churn.PS_Eden_Space","avgt",1,10,771.629738,399.581060,"MB/sec",10000000
"benchmarks.baseline.Add.addFirstAddLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,237706936.320000,110430686.113367,"B/op",10000000
"benchmarks.baseline.Add.addFirstAddLast:·gc.churn.PS_Survivor_Space","avgt",1,10,48.085063,71.902446,"MB/sec",10000000
"benchmarks.baseline.Add.addFirstAddLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,13956218.880000,20025151.190589,"B/op",10000000
"benchmarks.baseline.Add.addFirstAddLast:·gc.count","avgt",1,10,15.000000,NaN,"counts",10000000
"benchmarks.baseline.Add.addFirstAddLast:·gc.time","avgt",1,10,3610.000000,NaN,"ms",10000000
"benchmarks.baseline.Add.addLast","avgt",1,10,149903.366116,25148.392591,"us/op",10000000
"benchmarks.baseline.Add.addLast:·gc.alloc.rate","avgt",1,10,864.490507,101.826604,"MB/sec",10000000
"benchmarks.baseline.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,240000240.259048,825.002401,"B/op",10000000
"benchmarks.baseline.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,865.854310,171.948143,"MB/sec",10000000
"benchmarks.baseline.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,242954060.556191,70247769.073129,"B/op",10000000
"benchmarks.baseline.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,57.655524,18.019072,"MB/sec",10000000
"benchmarks.baseline.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,16071658.544762,5046566.961438,"B/op",10000000
"benchmarks.baseline.Add.addLast:·gc.count","avgt",1,10,19.000000,NaN,"counts",10000000
"benchmarks.baseline.Add.addLast:·gc.time","avgt",1,10,5218.000000,NaN,"ms",10000000
"benchmarks.baseline.Remove.removeFirst","avgt",1,10,46576.611354,2233.365236,"us/op",10000000
"benchmarks.baseline.Remove.removeFirst:·gc.alloc.rate","avgt",1,10,867.281598,142.922411,"MB/sec",10000000
"benchmarks.baseline.Remove.removeFirst:·gc.alloc.rate.norm","avgt",1,10,240000238.765714,827.655684,"B/op",10000000
