"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: listSize"
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,0.098023,0.001730,"us/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,1075.622354,15.937744,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,240.000234,0.000824,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1082.225247,39.701950,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,241.465114,7.452751,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.147353,0.068416,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.032937,0.015492,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,191.000000,NaN,"counts",3
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,84.000000,NaN,"ms",3
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,0.837342,0.015591,"us/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,1809.430601,36.720772,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,2512.001445,0.005077,"B/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1810.895866,48.942021,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,2514.214818,65.692537,"B/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.145213,0.060958,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.202070,0.087646,"B/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,215.000000,NaN,"counts",15
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,96.000000,NaN,"ms",15
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,122.058170,33.391287,"us/op",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,1631.116930,323.606711,"MB/sec",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,306968.216364,0.772098,"B/op",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1656.323779,354.569424,"MB/sec",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,311429.921236,15850.818129,"B/op",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.049803,0.044886,"MB/sec",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,9.906883,10.000514,"B/op",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,164.000000,NaN,"counts",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,78.000000,NaN,"ms",1000
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,11129.355529,305.226317,"us/op",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,1804.312155,48.419973,"MB/sec",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,31582402.141307,63.301369,"B/op",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1799.338589,352.341996,"MB/sec",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,31492430.067180,6061339.514230,"B/op",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,1.323249,0.850873,"MB/sec",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,23201.485333,15018.005887,"B/op",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,45.000000,NaN,"counts",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,106.000000,NaN,"ms",100000
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,1636499.958600,155160.315455,"us/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,1411.200865,100.238391,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,3159975660.000000,5815.734429,"B/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1358.172288,249.651501,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,3053925171.200000,664049250.958892,"B/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,79.393124,6.477343,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,177727078.400000,2277164.999626,"B/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,37.000000,NaN,"counts",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,5131.000000,NaN,"ms",10000000
"benchmarks.persistentDeque.Add.addLast","avgt",1,10,0.094537,0.001042,"us/op",3
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate","avgt",1,10,1100.033997,11.379910,"MB/sec",3
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,240.000227,0.000798,"B/op",3
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,1104.667810,61.196126,"MB/sec",3
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,240.989634,12.062552,"B/op",3
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.116046,0.061388,"MB/sec",3
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.025327,0.013515,"B/op",3
"benchmarks.persistentDeque.Add.addLast:·gc.count","avgt",1,10,193.000000,NaN,"counts",3
"benchmarks.persistentDeque.Add.addLast:·gc.time","avgt",1,10,84.000000,NaN,"ms",3
"benchmarks.persistentDeque.Add.addLast","avgt",1,10,0.818595,0.012957,"us/op",15
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate","avgt",1,10,1848.778504,29.775889,"MB/sec",15
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,2512.001428,0.005037,"B/op",15
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,1851.841211,45.850489,"MB/sec",15
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,2516.062065,30.718565,"B/op",15
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.145254,0.066193,"MB/sec",15
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.197194,0.089662,"B/op",15
"benchmarks.persistentDeque.Add.addLast:·gc.count","avgt",1,10,220.000000,NaN,"counts",15
"benchmarks.persistentDeque.Add.addLast:·gc.time","avgt",1,10,96.000000,NaN,"ms",15
"benchmarks.persistentDeque.Add.addLast","avgt",1,10,114.255671,2.200482,"us/op",1000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate","avgt",1,10,1705.514127,32.151093,"MB/sec",1000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,306968.192519,0.672069,"B/op",1000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,1704.748624,87.650528,"MB/sec",1000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,306799.612915,12967.330141,"B/op",1000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.066301,0.068919,"MB/sec",1000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,11.887665,12.252931,"B/op",1000
"benchmarks.persistentDeque.Add.addLast:·gc.count","avgt",1,10,223.000000,NaN,"counts",1000
"benchmarks.persistentDeque.Add.addLast:·gc.time","avgt",1,10,100.000000,NaN,"ms",1000
"benchmarks.persistentDeque.Add.addLast","avgt",1,10,11175.224734,218.065933,"us/op",100000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate","avgt",1,10,1795.537349,34.456621,"MB/sec",100000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,31582402.247860,63.719637,"B/op",100000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,1792.244853,301.425291,"MB/sec",100000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,31555393.852658,5733879.250922,"B/op",100000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,1.132083,0.896431,"MB/sec",100000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,19864.141677,15520.242666,"B/op",100000
"benchmarks.persistentDeque.Add.addLast:·gc.count","avgt",1,10,44.000000,NaN,"counts",100000
"benchmarks.persistentDeque.Add.addLast:·gc.time","avgt",1,10,99.000000,NaN,"ms",100000
"benchmarks.persistentDeque.Add.addLast","avgt",1,10,1800268.440100,681074.547189,"us/op",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate","avgt",1,10,1346.683749,332.593545,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,3159975667.200000,5799.235397,"B/op",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,1318.438094,456.626332,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,3105305395.200000,833130449.733727,"B/op",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Old_Gen","avgt",1,10,37.795854,96.249047,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Old_Gen.norm","avgt",1,10,113857924.000000,285358322.270612,"B/op",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,20.578369,29.503066,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,55332044.800000,87505271.776191,"B/op",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.count","avgt",1,10,30.000000,NaN,"counts",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.time","avgt",1,10,6701.000000,NaN,"ms",10000000
"benchmarks.persistentDeque.Remove.removeFirst","avgt",1,10,0.083768,0.002494,"us/op",3
"benchmarks.persistentDeque.Remove.removeFirst:·gc.alloc.rate","avgt",1,10,1361.201941,36.436030,"MB/sec",3
"benchmarks.persistentDeque.Remove.removeFirst:·gc.alloc.rate.norm","avgt",1,10,384.000290,0.001019,"B/op",3
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1354.071194,60.097766,"MB/sec",3
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,382.071603,18.506826,"B/op",3
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.143103,0.045336,"MB/sec",3
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.040307,0.012457,"B/op",3
"benchmarks.persistentDeque.Remove.removeFirst:·gc.count","avgt",1,10,216.000000,NaN,"counts",3
"benchmarks.persistentDeque.Remove.removeFirst:·gc.time","avgt",1,10,94.000000,NaN,"ms",3
"benchmarks.persistentDeque.Remove.removeFirst","avgt",1,10,0.721066,0.028502,"us/op",15
"benchmarks.persistentDeque.Remove.removeFirst:·gc.alloc.rate","avgt",1,10,1612.192173,53.872723,"MB/sec",15
"benchmarks.persistentDeque.Remove.removeFirst:·gc.alloc.rate.norm","avgt",1,10,4168.002710,0.009547,"B/op",15
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1608.361598,61.952741,"MB/sec",15
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,4158.248569,95.832475,"B/op",15
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.136879,0.044967,"MB/sec",15
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.354834,0.125236,"B/op",15
"benchmarks.persistentDeque.Remove.removeFirst:·gc.count","avgt",1,10,215.000000,NaN,"counts",15
"benchmarks.persistentDeque.Remove.removeFirst:·gc.time","avgt",1,10,95.000000,NaN,"ms",15
"benchmarks.persistentDeque.Remove.removeFirst","avgt",1,10,83.545792,6.228804,"us/op",1000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.alloc.rate","avgt",1,10,1552.261695,74.735541,"MB/sec",1000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.alloc.rate.norm","avgt",1,10,495712.329653,1.143432,"B/op",1000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1546.291191,105.167620,"MB/sec",1000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,493645.323861,12883.128787,"B/op",1000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.055952,0.044422,"MB/sec",1000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,18.025205,14.604568,"B/op",1000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.count","avgt",1,10,210.000000,NaN,"counts",1000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.time","avgt",1,10,95.000000,NaN,"ms",1000
"benchmarks.persistentDeque.Remove.removeFirst","avgt",1,10,14424.115778,668.833546,"us/op",100000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.alloc.rate","avgt",1,10,1251.167504,47.142115,"MB/sec",100000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.alloc.rate.norm","avgt",1,10,51170202.562979,149.341338,"B/op",100000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1255.696081,181.648604,"MB/sec",100000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,51412811.098936,8218791.442945,"B/op",100000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,1.077008,0.791173,"MB/sec",100000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,44333.859827,33788.361662,"B/op",100000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.count","avgt",1,10,41.000000,NaN,"counts",100000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.time","avgt",1,10,90.000000,NaN,"ms",100000
"benchmarks.persistentDeque.Remove.removeFirst","avgt",1,10,1121085.351600,159367.901031,"us/op",10000000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.alloc.rate","avgt",1,10,1442.339093,33.309394,"MB/sec",10000000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.alloc.rate.norm","avgt",1,10,5119958068.800000,5823.833640,"B/op",10000000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1438.126055,119.695092,"MB/sec",10000000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,5104834969.600000,402037950.475315,"B/op",10000000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,56.365513,15.755989,"MB/sec",10000000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,199973273.600000,54660787.280262,"B/op",10000000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.count","avgt",1,10,61.000000,NaN,"counts",10000000
"benchmarks.persistentDeque.Remove.removeFirst:·gc.time","avgt",1,10,7868.000000,NaN,"ms",10000000
"benchmarks.persistentDeque.Remove.removeLast","avgt",1,10,0.109345,0.002590,"us/op",3
"benchmarks.persistentDeque.Remove.removeLast:·gc.alloc.rate","avgt",1,10,1458.239884,35.342197,"MB/sec",3
"benchmarks.persistentDeque.Remove.removeLast:·gc.alloc.rate.norm","avgt",1,10,480.000349,0.001236,"B/op",3
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Eden_Space","avgt",1,10,1451.762095,52.271926,"MB/sec",3
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,477.924967,17.380170,"B/op",3
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.174136,0.055642,"MB/sec",3
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.057266,0.017633,"B/op",3
"benchmarks.persistentDeque.Remove.removeLast:·gc.count","avgt",1,10,216.000000,NaN,"counts",3
"benchmarks.persistentDeque.Remove.removeLast:·gc.time","avgt",1,10,97.000000,NaN,"ms",3
"benchmarks.persistentDeque.Remove.removeLast","avgt",1,10,0.758317,0.012684,"us/op",15
"benchmarks.persistentDeque.Remove.removeLast:·gc.alloc.rate","avgt",1,10,1625.059561,26.668749,"MB/sec",15
"benchmarks.persistentDeque.Remove.removeLast:·gc.alloc.rate.norm","avgt",1,10,4296.002770,0.009728,"B/op",15
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Eden_Space","avgt",1,10,1627.137798,69.357265,"MB/sec",15
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,4301.529505,170.675196,"B/op",15
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.143159,0.057976,"MB/sec",15
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.378620,0.153626,"B/op",15
"benchmarks.persistentDeque.Remove.removeLast:·gc.count","avgt",1,10,215.000000,NaN,"counts",15
"benchmarks.persistentDeque.Remove.removeLast:·gc.time","avgt",1,10,95.000000,NaN,"ms",15
"benchmarks.persistentDeque.Remove.removeLast","avgt",1,10,81.856607,1.699582,"us/op",1000
"benchmarks.persistentDeque.Remove.removeLast:·gc.alloc.rate","avgt",1,10,1597.971119,25.555731,"MB/sec",1000
"benchmarks.persistentDeque.Remove.removeLast:·gc.alloc.rate.norm","avgt",1,10,498352.326397,1.152702,"B/op",1000
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Eden_Space","avgt",1,10,1596.598533,33.260028,"MB/sec",1000
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,497983.733796,13975.727652,"B/op",1000
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.060188,0.054335,"MB/sec",1000
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,18.740799,16.893504,"B/op",1000
"benchmarks.persistentDeque.Remove.removeLast:·gc.count","avgt",1,10,218.000000,NaN,"counts",1000
"benchmarks.persistentDeque.Remove.removeLast:·gc.time","avgt",1,10,97.000000,NaN,"ms",1000
"benchmarks.persistentDeque.Remove.removeLast","avgt",1,10,15260.582542,463.835673,"us/op",100000
"benchmarks.persistentDeque.Remove.removeLast:·gc.alloc.rate","avgt",1,10,1214.275717,31.271017,"MB/sec",100000
"benchmarks.persistentDeque.Remove.removeLast:·gc.alloc.rate.norm","avgt",1,10,51174867.539993,153.346212,"B/op",100000
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Eden_Space","avgt",1,10,1255.725097,182.580710,"MB/sec",100000
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,52926655.600832,7643123.477741,"B/op",100000
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.926040,0.759025,"MB/sec",100000
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,39111.787752,32235.073136,"B/op",100000
"benchmarks.persistentDeque.Remove.removeLast:·gc.count","avgt",1,10,40.000000,NaN,"counts",100000
"benchmarks.persistentDeque.Remove.removeLast:·gc.time","avgt",1,10,93.000000,NaN,"ms",100000
"benchmarks.persistentDeque.Remove.removeLast","avgt",1,10,1072172.152700,104810.922237,"us/op",10000000
"benchmarks.persistentDeque.Remove.removeLast:·gc.alloc.rate","avgt",1,10,1485.324687,15.768429,"MB/sec",10000000
"benchmarks.persistentDeque.Remove.removeLast:·gc.alloc.rate.norm","avgt",1,10,5119965004.800000,5840.822416,"B/op",10000000
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Eden_Space","avgt",1,10,1477.763617,119.384225,"MB/sec",10000000
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,5093405491.200000,389632199.062184,"B/op",10000000
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Survivor_Space","avgt",1,10,56.370624,14.832495,"MB/sec",10000000
"benchmarks.persistentDeque.Remove.removeLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,194225766.400000,49996025.038949,"B/op",10000000
"benchmarks.persistentDeque.Remove.removeLast:·gc.count","avgt",1,10,61.000000,NaN,"counts",10000000
"benchmarks.persistentDeque.Remove.removeLast:·gc.time","avgt",1,10,7948.000000,NaN,"ms",10000000
