"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: listSize"
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,0.108782,0.001514,"us/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,1098.603772,14.770024,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,264.000252,0.000886,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1121.082104,90.764434,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,269.423998,22.215955,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.116117,0.083817,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.027938,0.020277,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,139.000000,NaN,"counts",3
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,65.000000,NaN,"ms",3
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,0.840809,0.015549,"us/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,1935.085123,34.799916,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,2696.001448,0.005071,"B/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1946.472871,78.439070,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,2711.988601,105.474761,"B/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.161658,0.060404,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.225400,0.085656,"B/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,211.000000,NaN,"counts",15
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,93.000000,NaN,"ms",15
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,113.761361,2.070059,"us/op",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,1801.418746,33.726656,"MB/sec",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,322792.186939,0.645200,"B/op",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1805.324123,71.651516,"MB/sec",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,323494.056784,11414.127254,"B/op",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.047725,0.057385,"MB/sec",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,8.530127,10.236626,"B/op",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,201.000000,NaN,"counts",1000
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,92.000000,NaN,"ms",1000
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,11388.702668,153.432888,"us/op",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,1851.769055,27.630173,"MB/sec",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,33182066.780803,66.083680,"B/op",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1775.906642,318.184667,"MB/sec",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,31842031.442668,5995953.656214,"B/op",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,1.936245,3.147193,"MB/sec",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,34581.392883,56288.617891,"B/op",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,25.000000,NaN,"counts",100000
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,127.000000,NaN,"ms",100000
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,3744946.748500,2561845.849138,"us/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,858.819185,487.352296,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,3319975159.200000,5814.049465,"B/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,831.049323,350.879794,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,3346635161.600000,705367117.025745,"B/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Old_Gen","avgt",1,10,89.247493,167.358893,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Old_Gen.norm","avgt",1,10,504711154.400000,911378728.889819,"B/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,38.770300,45.999322,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,195464396.800000,252665096.421976,"B/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,52.000000,NaN,"counts",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,26533.000000,NaN,"ms",10000000
"benchmarks.persistentDeque.Add.addLast","avgt",1,10,0.107182,0.001855,"us/op",3
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate","avgt",1,10,1111.861306,17.479076,"MB/sec",3
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,264.000248,0.000874,"B/op",3
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,1113.561121,36.844346,"MB/sec",3
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,264.419087,8.913411,"B/op",3
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.134854,0.078640,"MB/sec",3
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.032067,0.018868,"B/op",3
"benchmarks.persistentDeque.Add.addLast:·gc.count","avgt",1,10,200.000000,NaN,"counts",3
"benchmarks.persistentDeque.Add.addLast:·gc.time","avgt",1,10,86.000000,NaN,"ms",3
"benchmarks.persistentDeque.Add.addLast","avgt",1,10,0.844814,0.021250,"us/op",15
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate","avgt",1,10,1924.290728,48.377876,"MB/sec",15
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,2696.001453,0.005065,"B/op",15
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,1931.528496,71.213715,"MB/sec",15
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,2706.436422,97.825391,"B/op",15
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.141200,0.073866,"MB/sec",15
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.197871,0.104032,"B/op",15
"benchmarks.persistentDeque.Add.addLast:·gc.count","avgt",1,10,214.000000,NaN,"counts",15
"benchmarks.persistentDeque.Add.addLast:·gc.time","avgt",1,10,96.000000,NaN,"ms",15
"benchmarks.persistentDeque.Add.addLast","avgt",1,10,113.073616,2.804194,"us/op",1000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate","avgt",1,10,1807.772633,43.781111,"MB/sec",1000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,322792.188744,0.658789,"B/op",1000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,1815.596938,91.616406,"MB/sec",1000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,324144.153190,11434.132958,"B/op",1000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.059771,0.047432,"MB/sec",1000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,10.722070,8.614802,"B/op",1000
"benchmarks.persistentDeque.Add.addLast:·gc.count","avgt",1,10,208.000000,NaN,"counts",1000
"benchmarks.persistentDeque.Add.addLast:·gc.time","avgt",1,10,97.000000,NaN,"ms",1000
"benchmarks.persistentDeque.Add.addLast","avgt",1,10,11065.205454,275.643643,"us/op",100000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate","avgt",1,10,1904.855419,49.540090,"MB/sec",100000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,33182067.284601,69.239438,"B/op",100000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,1885.714211,540.220292,"MB/sec",100000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,32881179.986669,9684631.771362,"B/op",100000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,1.941703,1.272813,"MB/sec",100000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,33798.813756,22113.580970,"B/op",100000
"benchmarks.persistentDeque.Add.addLast:·gc.count","avgt",1,10,24.000000,NaN,"counts",100000
"benchmarks.persistentDeque.Add.addLast:·gc.time","avgt",1,10,125.000000,NaN,"ms",100000
"benchmarks.persistentDeque.Add.addLast","avgt",1,10,3878456.320800,2578677.877876,"us/op",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate","avgt",1,10,832.932961,479.421454,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,3319975163.200000,5816.184238,"B/op",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,809.873855,421.592026,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,3295569510.400000,543656409.086832,"B/op",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Old_Gen","avgt",1,10,89.302318,148.912221,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Old_Gen.norm","avgt",1,10,553364521.600000,914107119.040525,"B/op",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,35.791206,39.101379,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,184988467.200000,218441374.794068,"B/op",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.count","avgt",1,10,46.000000,NaN,"counts",10000000
"benchmarks.persistentDeque.Add.addLast:·gc.time","avgt",1,10,27127.000000,NaN,"ms",10000000
"benchmarks.persistentDeque.Remove.removeFirst","avgt",1,10,0.083443,0.003379,"us/op",3
